what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1236009235403
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1236009242047
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring,1236009242250
started,bundle,org.eclipse.compare,3.4.1.r34x_20090121,org.eclipse.compare,1236009242312
started,bundle,org.eclipse.gmf.codegen.ui,1.1.0.v20080512-1200,org.eclipse.gmf.codegen.ui,1236009242344
started,bundle,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui,1236009244016
started,bundle,org.openarchitectureware.workflow,4.3.1.20090107-2000PRD,org.openarchitectureware.workflow,1236009244016
started,bundle,org.eclipse.jdt.debug,3.4.1.v20081216_r342,org.eclipse.jdt.debug,1236009244392
started,bundle,org.eclipse.core.variables,3.2.100.v20080529-1300,org.eclipse.core.variables,1236009245439
started,bundle,org.eclipse.jdt.debug.ui,3.3.1.v20080730_r341,org.eclipse.jdt.debug.ui,1236009245767
opened,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1236009246158
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236009256444
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236009259680
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236009267965
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236009344220
executed,command,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.project.properties,1236009344251
activated,editor,org.openarchitectureware.xtext.editor,4.3.1.20090107-2000PRD,org.openarchitectureware.xtext.editor.XTextEditor,1236009347222
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236009351536
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236009372280
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236009373249
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236009375954
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236009376048
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236009377533
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236009382504
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236009428853
