what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring,1236069727686
started,bundle,org.eclipse.compare,3.4.1.r34x_20090121,org.eclipse.compare,1236069727827
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236069730534
started,bundle,org.eclipse.emf.common,2.4.0.v200902171115,org.eclipse.emf.common,1236069737027
started,bundle,org.eclipse.emf.common.ui,2.4.0.v200902171115,org.eclipse.emf.common.ui,1236069737043
started,bundle,poosl.emf.editor,1.0.0,poosl.emf.editor,1236069737043
started,bundle,org.eclipse.emf.ecore,2.4.2.v200902171115,org.eclipse.emf.ecore,1236069737090
started,bundle,poosl.emf,1.0.0,poosl.emf,1236069737090
started,bundle,org.eclipse.emf.ecore.xmi,2.4.1.v200902171115,org.eclipse.emf.ecore.xmi,1236069737215
started,bundle,org.eclipse.emf.edit.ui,2.4.2.v200902171115,org.eclipse.emf.edit.ui,1236069737293
started,bundle,org.eclipse.emf.edit,2.4.2.v200902171115,org.eclipse.emf.edit,1236069737293
started,bundle,poosl.emf.edit,1.0.0,poosl.emf.edit,1236069737387
opened,editor,poosl.emf.editor,1.0.0,poosl.presentation.PooslEditorID,1236069746321
activated,editor,poosl.emf.editor,1.0.0,poosl.presentation.PooslEditorID,1236069746368
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236069746399
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.newWizard,1236069746431
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236069757086
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236069757195
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1236069757211
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1236069758165
closed,editor,poosl.emf.editor,1.0.0,poosl.presentation.PooslEditorID,1236069758165
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236069760278
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236069767694
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236069768367
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236069770729
