what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring,1236068913420
started,bundle,org.eclipse.compare,3.4.1.r34x_20090121,org.eclipse.compare,1236068913530
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236068915765
started,bundle,org.eclipse.emf.common,2.4.0.v200902171115,org.eclipse.emf.common,1236068919516
started,bundle,org.eclipse.emf.common.ui,2.4.0.v200902171115,org.eclipse.emf.common.ui,1236068919516
started,bundle,slco.emf.editor,1.0.0,slco.emf.editor,1236068919516
started,bundle,org.eclipse.emf.ecore,2.4.2.v200902171115,org.eclipse.emf.ecore,1236068919578
started,bundle,slco.emf,1.0.0,slco.emf,1236068919578
started,bundle,org.eclipse.emf.ecore.xmi,2.4.1.v200902171115,org.eclipse.emf.ecore.xmi,1236068919766
started,bundle,org.eclipse.emf.edit.ui,2.4.2.v200902171115,org.eclipse.emf.edit.ui,1236068919860
started,bundle,org.eclipse.emf.edit,2.4.2.v200902171115,org.eclipse.emf.edit,1236068919860
started,bundle,slco.emf.edit,1.0.0,slco.emf.edit,1236068920078
opened,editor,slco.emf.editor,1.0.0,slco.presentation.SlcoEditorID,1236068931722
activated,editor,slco.emf.editor,1.0.0,slco.presentation.SlcoEditorID,1236068931753
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236068931769
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.newWizard,1236068931816
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236068964839
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236068965136
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1236068965151
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1236068968183
closed,editor,slco.emf.editor,1.0.0,slco.presentation.SlcoEditorID,1236068968183
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236068968949
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236068969965
started,bundle,org.eclipse.mylyn.resources.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.resources.ui,1236068970043
started,bundle,org.eclipse.mylyn.java.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.java.ui,1236068970043
