what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236070692104
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236070692166
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236071112002
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236071115520
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236071136142
activated,editor,org.openarchitectureware.workflow,4.3.1.20090107-2000PRD,org.openarchitectureware.workflow.editors.WorkflowEditor,1236071138643
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236071164972
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236071171351
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1236071173071
opened,editor,org.eclipse.pde.ui,3.4.0.v20090202,org.eclipse.pde.ui.manifestEditor,1236071174306
activated,editor,org.eclipse.pde.ui,3.4.0.v20090202,org.eclipse.pde.ui.manifestEditor,1236071174384
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236071180372
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236071256997
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236071259077
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236071413328
activated,editor,org.openarchitectureware.workflow,4.3.1.20090107-2000PRD,org.openarchitectureware.workflow.editors.WorkflowEditor,1236071417971
closed,editor,org.eclipse.pde.ui,3.4.0.v20090202,org.eclipse.pde.ui.manifestEditor,1236071417971
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236071421425
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236072113311
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.1.R34x_v20081029,org.eclipse.equinox.p2.ui.sdk.update,1236072113342
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236072117751
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236072233034
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236072234113
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236072552612
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236072553300
