what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.mylyn.resources.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.resources.ui,1236009835460
stopped,bundle,org.eclipse.mylyn.context.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.context.ui,1236009835460
stopped,bundle,org.eclipse.mylyn.tasks.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.tasks.ui,1236009835460
stopped,bundle,org.eclipse.search,3.4.1.r341_v20080813-0800,org.eclipse.search,1236009835460
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring,1236009835523
stopped,bundle,org.eclipse.team.ui,3.4.1.r34x_20080827,org.eclipse.team.ui,1236009835601
stopped,bundle,org.eclipse.sdk,3.4.2.v200902111700,org.eclipse.sdk,1236009835601
stopped,bundle,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.resources,1236009835601
stopped,bundle,org.eclipse.ui.navigator,3.3.102.M20090127-1700,org.eclipse.ui.navigator,1236009835601
stopped,bundle,org.eclipse.gef,3.4.1.v20080806,org.eclipse.gef,1236009835601
stopped,bundle,org.eclipse.update.scheduler,3.2.100.v20080404,org.eclipse.update.scheduler,1236009835601
stopped,bundle,org.eclipse.m2m.atl.engine.emfvm,2.0.2.v200812191010,org.eclipse.m2m.atl.engine.emfvm,1236009835601
stopped,bundle,org.eclipse.m2m.atl.adt.editor,2.0.2.v200812191010,org.eclipse.m2m.atl.adt.editor,1236009835601
stopped,bundle,org.eclipse.m2m.atl.adt.debug,2.0.2.v200812191010,org.eclipse.m2m.atl.adt.debug,1236009835601
stopped,bundle,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui,1236009835601
stopped,bundle,org.eclipse.ui.views.log,1.0.0.v20080803-1700,org.eclipse.ui.views.log,1236009835601
stopped,bundle,org.eclipse.ui.net,1.0.0.I20080605,org.eclipse.ui.net,1236009835601
stopped,bundle,org.eclipse.ui.cheatsheets,3.3.101.v20080702_34x,org.eclipse.ui.cheatsheets,1236009835601
stopped,bundle,org.eclipse.help.ui,3.3.102.v20081014_34x,org.eclipse.help.ui,1236009835601
stopped,bundle,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console,1236009835601
stopped,bundle,org.eclipse.jsch.ui,1.1.100.I20080415,org.eclipse.jsch.ui,1236009835601
stopped,bundle,org.eclipse.net4j.ui,1.0.8.v200902231136,org.eclipse.net4j.ui,1236009835601
stopped,bundle,org.eclipse.net4j.buddies.chat.ui,1.0.8.v200902231136,org.eclipse.net4j.buddies.chat.ui,1236009835601
stopped,bundle,org.eclipse.net4j.buddies.ui,1.0.8.v200902231136,org.eclipse.net4j.buddies.ui,1236009835617
stopped,bundle,org.eclipse.net4j.util.ui,1.0.8.v200902231136,org.eclipse.net4j.util.ui,1236009835617
