what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.emf.cdo.ui,1.0.8.v200902231216,org.eclipse.emf.cdo.ui,1236072827807
stopped,bundle,org.eclipse.uml2.examples.uml.ui,2.2.0.v200805131030,org.eclipse.uml2.examples.uml.ui,1236072827900
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.0.v20080730_r341,org.eclipse.pde.api.tools.ui,1236072828072
stopped,bundle,org.eclipse.pde.api.tools,1.0.0.v20081117_r342,org.eclipse.pde.api.tools,1236072828260
stopped,bundle,org.eclipse.pde.p2.ui,1.0.0.v20080604-2000,org.eclipse.pde.p2.ui,1236072828354
stopped,bundle,org.eclipse.pde.runtime,3.4.0.v20080723-1000,org.eclipse.pde.runtime,1236072828479
stopped,bundle,org.eclipse.pde.ui.templates,3.4.0.v20080514-1500,org.eclipse.pde.ui.templates,1236072828651
stopped,bundle,org.eclipse.pde.ui,3.4.0.v20090202,org.eclipse.pde.ui,1236072828651
stopped,bundle,org.eclipse.m2m.qvt.oml.runtime.ui,1.0.1.v20080917-1645,org.eclipse.m2m.qvt.oml.runtime.ui,1236072828651
stopped,bundle,org.eclipse.m2m.qvt.oml.runtime,1.0.1.v20080917-1645,org.eclipse.m2m.qvt.oml.runtime,1236072828776
stopped,bundle,org.eclipse.m2m.qvt.oml.samples,1.0.1.v20080917-1855,org.eclipse.m2m.qvt.oml.samples,1236072828823
stopped,bundle,org.eclipse.m2m.qvt.oml.trace.edit,1.0.1.v20080917-1645,org.eclipse.m2m.qvt.oml.trace.edit,1236072828870
stopped,bundle,org.eclipse.m2m.qvt.oml.project,1.0.1.v20080917-1645,org.eclipse.m2m.qvt.oml.project,1236072828932
stopped,bundle,org.eclipse.m2m.qvt.oml,1.0.1.v20080917-1645,org.eclipse.m2m.qvt.oml,1236072828979
stopped,bundle,org.eclipse.m2m.qvt.oml.common.ui,1.0.1.v20080917-1645,org.eclipse.m2m.qvt.oml.common.ui,1236072829026
stopped,bundle,org.eclipse.m2m.qvt.oml.common,1.0.1.v20080917-1645,org.eclipse.m2m.qvt.oml.common,1236072829089
stopped,bundle,org.eclipse.pde.core,3.4.0.v20090202,org.eclipse.pde.core,1236072833702
stopped,bundle,org.eclipse.emf.importer.ecore,2.4.0.v200902171115,org.eclipse.emf.importer.ecore,1236072833749
stopped,bundle,org.eclipse.emf.search.genmodel.ui,0.7.0.v200806130939,org.eclipse.emf.search.genmodel.ui,1236072833827
stopped,bundle,org.eclipse.emf.codegen.ui,2.4.0.v200902171115,org.eclipse.emf.codegen.ui,1236072833968
stopped,bundle,org.eclipse.m2m.atl.adt.perspective,2.0.2.v200812191010,org.eclipse.m2m.atl.adt.perspective,1236072834046
stopped,bundle,org.eclipse.xsd.editor,2.4.0.v200902171115,org.eclipse.xsd.editor,1236072834046
stopped,bundle,org.eclipse.emf.validation.ui.ide,1.2.0.v200805130238,org.eclipse.emf.validation.ui.ide,1236072834077
stopped,bundle,org.eclipse.emf.mint.ui,0.7.1.v200809162149,org.eclipse.emf.mint.ui,1236072834077
stopped,bundle,org.eclipse.jet.ui,0.9.0.v20080527,org.eclipse.jet.ui,1236072834155
