what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring,1236009911229
started,bundle,org.eclipse.compare,3.4.1.r34x_20090121,org.eclipse.compare,1236009911323
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236009913714
started,bundle,org.eclipse.emf.common,2.4.0.v200902171115,org.eclipse.emf.common,1236010043538
started,bundle,org.eclipse.emf.common.ui,2.4.0.v200902171115,org.eclipse.emf.common.ui,1236010043538
started,bundle,sdslco.emf.editor,1.0.0,sdslco.emf.editor,1236010043538
started,bundle,org.eclipse.emf.ecore,2.4.2.v200902171115,org.eclipse.emf.ecore,1236010043538
started,bundle,sdslco.emf,1.0.0,sdslco.emf,1236010043538
started,bundle,org.eclipse.emf.ecore.xmi,2.4.1.v200902171115,org.eclipse.emf.ecore.xmi,1236010043616
started,bundle,org.eclipse.emf.edit.ui,2.4.2.v200902171115,org.eclipse.emf.edit.ui,1236010043679
started,bundle,org.eclipse.emf.edit,2.4.2.v200902171115,org.eclipse.emf.edit,1236010043679
started,bundle,sdslco.emf.edit,1.0.0,sdslco.emf.edit,1236010043726
opened,editor,sdslco.emf.editor,1.0.0,sdslco.presentation.SdslcoEditorID,1236010051073
activated,editor,sdslco.emf.editor,1.0.0,sdslco.presentation.SdslcoEditorID,1236010051104
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236010051120
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.newWizard,1236010051166
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236010056919
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236010058185
started,bundle,org.eclipse.mylyn.resources.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.resources.ui,1236010058201
started,bundle,org.eclipse.mylyn.java.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.java.ui,1236010058216
started,bundle,org.eclipse.mylyn.ide.ant,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.ide.ant,1236010058232
closed,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236010058342
stopped,bundle,org.eclipse.help.webapp,3.3.101.M20080805_34x,org.eclipse.help.webapp,1236010058670
stopped,bundle,org.eclipse.equinox.jsp.jasper.registry,1.0.0.v20080427-0830,org.eclipse.equinox.jsp.jasper.registry,1236010058670
stopped,bundle,org.eclipse.equinox.jsp.jasper,1.0.100.v20080427-0830,org.eclipse.equinox.jsp.jasper,1236010058670
