what,kind,bundleId,bundleVersion,description,time
started,bundle,org.openarchitectureware.xtend.editor,4.3.1.20090107-2000PRD,org.openarchitectureware.xtend.editor,1236069980281
started,bundle,org.openarchitectureware.check.editor,4.3.1.20090107-2000PRD,org.openarchitectureware.check.editor,1236069980281
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236069983298
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236069983814
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1236069986441
closed,editor,org.eclipse.pde.ui,3.4.0.v20090202,org.eclipse.pde.ui.manifestEditor,1236069986456
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236069991991
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236070032469
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.import,1236070032484
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.import,1236070032484
started,bundle,org.eclipse.emf.common,2.4.0.v200902171115,org.eclipse.emf.common,1236070032906
started,bundle,org.eclipse.emf.ecore,2.4.2.v200902171115,org.eclipse.emf.ecore,1236070033078
started,bundle,org.openarchitectureware.emftools,4.3.1.20090107-2000PRD,org.openarchitectureware.emftools,1236070033110
started,bundle,org.eclipse.emf.ecore.xmi,2.4.1.v200902171115,org.eclipse.emf.ecore.xmi,1236070033156
started,bundle,org.openarchitectureware.workflow,4.3.1.20090107-2000PRD,org.openarchitectureware.workflow,1236070042224
opened,editor,org.openarchitectureware.xtend.editor,4.3.1.20090107-2000PRD,org.openarchitectureware.xtend.editor.XtendEditor,1236070042396
activated,editor,org.openarchitectureware.xtend.editor,4.3.1.20090107-2000PRD,org.openarchitectureware.xtend.editor.XtendEditor,1236070042475
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1236070045914
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236070047337
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236070072274
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.import,1236070072337
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.import,1236070072337
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236070096070
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236070096961
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1236070101604
