what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.engine,1.0.4.v20080930,org.eclipse.equinox.p2.engine,1236068640927
started,bundle,org.eclipse.mylyn.context.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.context.ui,1236068640942
started,bundle,org.eclipse.team.core,3.4.2.r34x_20080115,org.eclipse.team.core,1236068640942
started,bundle,org.eclipse.core.databinding,1.1.1.M20080827-0800b,org.eclipse.core.databinding,1236068640942
started,bundle,sdslco.emf.edit,1.0.0,sdslco.emf.edit,1236068641130
started,bundle,sdslco.emf,1.0.0,sdslco.emf,1236068641349
started,bundle,sdslco.emf.editor,1.0.0,sdslco.emf.editor,1236068641349
started,bundle,org.eclipse.mylyn.compatibility,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.compatibility,1236068643381
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1236068645664
started,bundle,org.eclipse.ltk.core.refactoring,3.4.2.r342_v20081028-0800,org.eclipse.ltk.core.refactoring,1236068647024
started,bundle,org.openarchitectureware.xtext.editor.base,4.3.1.20090107-2000PRD,org.openarchitectureware.xtext.editor.base,1236068651120
started,bundle,org.openarchitectureware.xtext.core.base,4.3.1.20090107-2000PRD,org.openarchitectureware.xtext.core.base,1236068651276
started,bundle,sdslco.xtext,1.0.0,sdslco.xtext,1236068651339
started,bundle,sdslco.xtext.editor,1.0.0,sdslco.xtext.editor,1236068651605
started,bundle,org.eclipse.uml2.diagram.codegen,0.8.0.v200809231457,org.eclipse.uml2.diagram.codegen,1236068653449
started,bundle,org.eclipse.gmf.codegen,2.1.1.v20090212-1755,org.eclipse.gmf.codegen,1236068653574
started,bundle,org.eclipse.emf.codegen.ecore,2.4.2.v200902171115,org.eclipse.emf.codegen.ecore,1236068653653
started,bundle,org.eclipse.gmf.validate,1.1.0.v20080603-1553,org.eclipse.gmf.validate,1236068653824
started,bundle,org.eclipse.gmf.map,2.1.0.v20080521,org.eclipse.gmf.map,1236068654215
started,bundle,org.eclipse.gmf.tooldef,2.0.0.v20080417-1610,org.eclipse.gmf.tooldef,1236068654247
started,bundle,org.eclipse.emf.mapping,2.4.0.v200902171115,org.eclipse.emf.mapping,1236068654262
started,bundle,org.eclipse.emf.ecore.edit,2.4.1.v200902171115,org.eclipse.emf.ecore.edit,1236068654262
started,bundle,org.eclipse.emf.mapping.ecore2ecore,2.4.0.v200902171115,org.eclipse.emf.mapping.ecore2ecore,1236068654278
started,bundle,org.eclipse.m2m.qvt.oml,1.0.1.v20080917-1645,org.eclipse.m2m.qvt.oml,1236068654372
started,bundle,org.eclipse.ocl,1.2.3.v200901071407,org.eclipse.ocl,1236068654481
