what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.emf.cdo.tests.model3,1.0.8.v200902231216,org.eclipse.emf.cdo.tests.model3,1236009797584
started,bundle,org.eclipse.ocl.uml,1.2.3.v200901071407,org.eclipse.ocl.uml,1236009797662
started,bundle,org.eclipse.emf.cdo.tests.model4,1.0.8.v200902231216,org.eclipse.emf.cdo.tests.model4,1236009797740
started,bundle,org.eclipse.emf.edit,2.4.2.v200902171115,org.eclipse.emf.edit,1236009797772
started,bundle,org.eclipse.emf.compare.diff,0.8.1.v200902100450,org.eclipse.emf.compare.diff,1236009797787
started,bundle,org.eclipse.emf.mapping.ecore2xml,2.4.0.v200902171115,org.eclipse.emf.mapping.ecore2xml,1236009797834
started,bundle,org.eclipse.emf.mapping.xsd2ecore,2.4.0.v200902171115,org.eclipse.emf.mapping.xsd2ecore,1236009797912
started,bundle,org.eclipse.search,3.4.1.r341_v20080813-0800,org.eclipse.search,1236009798053
opened,editor,sdslco.xtext.editor,1.0.0,org.example.sdslco.editor.SdslcoEditor,1236009798319
activated,editor,sdslco.xtext.editor,1.0.0,org.example.sdslco.editor.SdslcoEditor,1236009798381
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236009798444
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.newWizard,1236009798475
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1236009801570
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.lineStart,1236009803290
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1236009810543
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1236009823533
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1236009831115
activated,editor,sdslco.xtext.editor,1.0.0,org.example.sdslco.editor.SdslcoEditor,1236009832756
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1236009832772
closed,editor,sdslco.xtext.editor,1.0.0,org.example.sdslco.editor.SdslcoEditor,1236009832787
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236009833553
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236009834444
started,bundle,org.eclipse.mylyn.resources.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.resources.ui,1236009834460
started,bundle,org.eclipse.mylyn.java.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.java.ui,1236009834460
started,bundle,org.eclipse.mylyn.ide.ant,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.ide.ant,1236009834476
