what,kind,bundleId,bundleVersion,description,time
opened,editor,sdslco.xtext.editor,1.0.0,org.example.sdslco.editor.SdslcoEditor,1236068659703
activated,editor,sdslco.xtext.editor,1.0.0,org.example.sdslco.editor.SdslcoEditor,1236068659937
activated,editor,sdslco.emf.editor,1.0.0,sdslco.presentation.SdslcoEditorID,1236068679339
closed,editor,sdslco.xtext.editor,1.0.0,org.example.sdslco.editor.SdslcoEditor,1236068679385
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1236068680198
closed,editor,sdslco.emf.editor,1.0.0,sdslco.presentation.SdslcoEditorID,1236068680198
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236068684279
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236068699865
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236068704102
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236068705384
started,bundle,org.eclipse.mylyn.resources.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.resources.ui,1236068705400
started,bundle,org.eclipse.mylyn.java.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.java.ui,1236068705494
started,bundle,org.eclipse.mylyn.ide.ant,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.ide.ant,1236068705587
closed,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236068705665
stopped,bundle,org.eclipse.help.webapp,3.3.101.M20080805_34x,org.eclipse.help.webapp,1236068706322
stopped,bundle,org.eclipse.equinox.jsp.jasper.registry,1.0.0.v20080427-0830,org.eclipse.equinox.jsp.jasper.registry,1236068706322
stopped,bundle,org.eclipse.equinox.jsp.jasper,1.0.100.v20080427-0830,org.eclipse.equinox.jsp.jasper,1236068706322
stopped,bundle,org.eclipse.emf.compare.ui,0.8.1.v200902100450,org.eclipse.emf.compare.ui,1236068706322
stopped,bundle,org.eclipse.m2m.qvt.oml.editor.ui,1.0.1.v20080917-1645,org.eclipse.m2m.qvt.oml.editor.ui,1236068706322
stopped,bundle,org.eclipse.m2m.qvt.oml.ui,1.0.1.v20080917-1645,org.eclipse.m2m.qvt.oml.ui,1236068706338
stopped,bundle,org.eclipse.emf.search.codegen,0.7.0.v200806130939,org.eclipse.emf.search.codegen,1236068706338
stopped,bundle,org.eclipse.uml2.diagram.codegen.edit,0.8.0.v200809231457,org.eclipse.uml2.diagram.codegen.edit,1236068706338
stopped,bundle,org.eclipse.uml2.diagram.codegen,0.8.0.v200809231457,org.eclipse.uml2.diagram.codegen,1236068706338
stopped,bundle,org.eclipse.gmf.codegen.ui,1.1.0.v20080512-1200,org.eclipse.gmf.codegen.ui,1236068706338
stopped,bundle,org.eclipse.mylyn.java.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.java.ui,1236068706338
