what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring.commands.deleteResources,1236069770745
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1236069770745
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236069775517
started,bundle,org.openarchitectureware.base,4.3.1.20090107-2000PRD,org.openarchitectureware.base,1236069777989
started,bundle,org.eclipse.debug.core,3.4.1.v20090106_r342,org.eclipse.debug.core,1236069787361
started,bundle,org.eclipse.jdt.launching,3.4.1.v20080729_r341,org.eclipse.jdt.launching,1236069787361
started,bundle,org.eclipse.pde.core,3.4.0.v20090202,org.eclipse.pde.core,1236069787424
started,bundle,org.eclipse.jdt.apt.core,3.3.101.R34x_v20090114-1205,org.eclipse.jdt.apt.core,1236069788269
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.101.R34x_v20081108-1950,org.eclipse.jdt.apt.pluggable.core,1236069788285
started,bundle,org.eclipse.pde,3.4.0.v20080603,org.eclipse.pde,1236069788629
started,bundle,org.openarchitectureware.xpand2.editor,4.3.1.20090107-2000PRD,org.openarchitectureware.xpand2.editor,1236069788973
started,bundle,org.openarchitectureware.xtend.editor,4.3.1.20090107-2000PRD,org.openarchitectureware.xtend.editor,1236069789083
started,bundle,org.openarchitectureware.check.editor,4.3.1.20090107-2000PRD,org.openarchitectureware.check.editor,1236069789145
started,bundle,org.eclipse.pde.build,3.4.1.R34x_v20081217,org.eclipse.pde.build,1236069796640
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236069798658
opened,view,org.eclipse.ui.views,3.3.1.M20081112-0800,org.eclipse.ui.views.PropertySheet,1236069798924
activated,perspective,org.openarchitectureware.base,4.3.1.20090107-2000PRD,org.openarchitectureware.base.oAWPerspective,1236069798955
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.newWizard,1236069798987
activated,view,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.views.ProblemView,1236069802069
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1236069820938
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236069830905
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236069832204
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236069839260
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236069847099
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236069855861
