what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.openarchitectureware.graphviz,4.3.1.20090107-2000PRD,org.openarchitectureware.graphviz,1236010062437
stopped,bundle,org.openarchitectureware.xtext.editor,4.3.1.20090107-2000PRD,org.openarchitectureware.xtext.editor,1236010062437
stopped,bundle,org.openarchitectureware.xtext.core,4.3.1.20090107-2000PRD,org.openarchitectureware.xtext.core,1236010062437
stopped,bundle,org.openarchitectureware.xtext.editor.base,4.3.1.20090107-2000PRD,org.openarchitectureware.xtext.editor.base,1236010062437
stopped,bundle,org.openarchitectureware.xtext.core.base,4.3.1.20090107-2000PRD,org.openarchitectureware.xtext.core.base,1236010062437
stopped,bundle,org.openarchitectureware.workflow,4.3.1.20090107-2000PRD,org.openarchitectureware.workflow,1236010062437
stopped,bundle,org.eclipse.jdt.debug.ui,3.3.1.v20080730_r341,org.eclipse.jdt.debug.ui,1236010062437
stopped,bundle,org.eclipse.gmf.bridge.ui.dashboard,2.0.0.v20080417-1610,org.eclipse.gmf.bridge.ui.dashboard,1236010062437
stopped,bundle,org.eclipse.gmf.doc.ui,1.1.0.v20070601-1400,org.eclipse.gmf.doc.ui,1236010062437
stopped,bundle,org.eclipse.gmf.bridge.ui,1.1.100.v20080417-1610,org.eclipse.gmf.bridge.ui,1236010062437
stopped,bundle,org.eclipse.gmf.bridge.trace,1.0.100.v20080425-1959,org.eclipse.gmf.bridge.trace,1236010062437
stopped,bundle,org.eclipse.gmf.bridge,1.1.0.v20090212-1755,org.eclipse.gmf.bridge,1236010062437
stopped,bundle,org.eclipse.gmf.codegen.edit,2.1.0.v20080718-1700,org.eclipse.gmf.codegen.edit,1236010062468
stopped,bundle,org.eclipse.gmf.codegen,2.1.1.v20090212-1755,org.eclipse.gmf.codegen,1236010062468
stopped,bundle,org.eclipse.gmf.graphdef.codegen,2.0.100.v20080528-1052,org.eclipse.gmf.graphdef.codegen,1236010062468
stopped,bundle,org.eclipse.gmf.map.edit,2.1.0.v20080716-1600,org.eclipse.gmf.map.edit,1236010062468
stopped,bundle,org.eclipse.gmf.graphdef.edit,2.0.100.v20080610-1132,org.eclipse.gmf.graphdef.edit,1236010062468
stopped,bundle,org.eclipse.gmf.map,2.1.0.v20080521,org.eclipse.gmf.map,1236010062468
stopped,bundle,org.eclipse.gmf.tooldef.edit,2.0.0.v20080610-1132,org.eclipse.gmf.tooldef.edit,1236010062468
stopped,bundle,org.eclipse.gmf.tooldef,2.0.0.v20080417-1610,org.eclipse.gmf.tooldef,1236010062468
stopped,bundle,org.eclipse.gmf.common,1.1.1.v20080610-1132,org.eclipse.gmf.common,1236010062468
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.100.v20080407-1345,org.eclipse.jdt.apt.ui,1236010062468
stopped,bundle,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui,1236010062484
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.bugzilla.ui,1236010062500
stopped,bundle,org.eclipse.mylyn.ide.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.ide.ui,1236010062500
