what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.net4j.http.server,1.0.8.v200902231136,org.eclipse.net4j.http.server,1236009690286
started,bundle,org.eclipse.net4j.tcp,1.0.8.v200902231136,org.eclipse.net4j.tcp,1236009690286
started,bundle,org.eclipse.net4j.util,1.0.8.v200902231136,org.eclipse.net4j.util,1236009690286
started,bundle,org.eclipse.ocl,1.2.3.v200901071407,org.eclipse.ocl,1236009690286
started,bundle,org.eclipse.ocl.ecore,1.2.1.v200807301850,org.eclipse.ocl.ecore,1236009690286
started,bundle,org.eclipse.ocl.uml,1.2.3.v200901071407,org.eclipse.ocl.uml,1236009690286
started,bundle,org.eclipse.pde,3.4.0.v20080603,org.eclipse.pde,1236009690286
started,bundle,org.eclipse.pde.core,3.4.0.v20090202,org.eclipse.pde.core,1236009690286
started,bundle,org.eclipse.pde.ui,3.4.0.v20090202,org.eclipse.pde.ui,1236009690302
started,bundle,org.eclipse.team.cvs.core,3.3.101.r34x_20090115,org.eclipse.team.cvs.core,1236009690302
started,bundle,org.eclipse.team.cvs.ui,3.3.100.r34x_20090121,org.eclipse.team.cvs.ui,1236009690302
started,bundle,org.eclipse.ui.views.log,1.0.0.v20080803-1700,org.eclipse.ui.views.log,1236009690302
started,bundle,org.eclipse.uml2.codegen.ecore,1.4.0.v200805201126,org.eclipse.uml2.codegen.ecore,1236009690302
started,bundle,org.eclipse.uml2.diagram.codegen,0.8.0.v200809231457,org.eclipse.uml2.diagram.codegen,1236009690302
started,bundle,org.eclipse.uml2.uml,2.2.2.v200811051031,org.eclipse.uml2.uml,1236009690302
started,bundle,org.eclipse.xsd,2.4.2.v200902171115,org.eclipse.xsd,1236009690302
started,bundle,org.eclipse.gmf.bridge.trace,1.0.100.v20080425-1959,org.eclipse.gmf.bridge.trace,1236009690302
started,bundle,org.openarchitectureware.adapter.emf.check,4.3.1.20090107-2000PRD,org.openarchitectureware.adapter.emf.check,1236009690302
started,bundle,org.openarchitectureware.xtext.core,4.3.1.20090107-2000PRD,org.openarchitectureware.xtext.core,1236009690302
started,bundle,org.openarchitectureware.xtext.core.base,4.3.1.20090107-2000PRD,org.openarchitectureware.xtext.core.base,1236009690302
started,bundle,org.openarchitectureware.xtext.editor,4.3.1.20090107-2000PRD,org.openarchitectureware.xtext.editor,1236009690302
started,bundle,org.openarchitectureware.xtext.editor.base,4.3.1.20090107-2000PRD,org.openarchitectureware.xtext.editor.base,1236009690302
started,bundle,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui,1236009700181
started,bundle,org.openarchitectureware.base,4.3.1.20090107-2000PRD,org.openarchitectureware.base,1236009701932
started,bundle,org.eclipse.core.variables,3.2.100.v20080529-1300,org.eclipse.core.variables,1236009702026
