what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236009872649
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.newWizard,1236009872665
started,bundle,org.eclipse.ltk.core.refactoring,3.4.2.r342_v20081028-0800,org.eclipse.ltk.core.refactoring,1236009872774
started,bundle,org.eclipse.emf.mint,0.7.1.v200809162149,org.eclipse.emf.mint,1236009875353
started,bundle,org.eclipse.emf.mint.ui,0.7.1.v200809162149,org.eclipse.emf.mint.ui,1236009875369
started,bundle,org.eclipse.compare,3.4.1.r34x_20090121,org.eclipse.compare,1236009875431
started,bundle,org.eclipse.gmf.codegen.ui,1.1.0.v20080512-1200,org.eclipse.gmf.codegen.ui,1236009875431
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236009876448
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236009885967
activated,editor,org.openarchitectureware.xtext.editor,4.3.1.20090107-2000PRD,org.openarchitectureware.xtext.editor.XTextEditor,1236009888281
closed,editor,org.eclipse.emf.codegen.ecore.ui,2.4.1.v200902171115,org.eclipse.emf.codegen.ecore.genmodel.presentation.GenModelEditorID,1236009888281
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1236009889141
started,bundle,org.eclipse.pde.build,3.4.1.R34x_v20081217,org.eclipse.pde.build,1236009889172
closed,editor,org.openarchitectureware.xtext.editor,4.3.1.20090107-2000PRD,org.openarchitectureware.xtext.editor.XTextEditor,1236009889235
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236009892986
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236009894596
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236009894674
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236010058373
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236010058420
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236010058529
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236010060311
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236010061124
started,bundle,org.eclipse.mylyn.ide.ant,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.ide.ant,1236010061155
started,bundle,org.eclipse.mylyn.java.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.java.ui,1236010061202
started,bundle,org.eclipse.mylyn.resources.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.resources.ui,1236010061202
